symbol,company_name,sector,series
HINDCOPPER,Hindustan Copper Limited,Copper,EQ
HINDPETRO,Hindustan Petroleum Corporation Limited,Refineries & Marketing,EQ
HINDUNILVR,Hindustan Unilever Limited,Diversified FMCG,EQ
HINDZINC,Hindustan Zinc Limited,Zinc,EQ
HOMEFIRST,Home First Finance Company India Limited,Housing Finance Company,EQ
HONASA,Honasa Consumer Limited,Personal Care,EQ
HONAUT,Honeywell Automation India Limited,Industrial Products,EQ
HSCL,Himadri Speciality Chemical Limited,Carbon Black,EQ
HUDCO,Housing & Urban Development Corporation Limited,Financial Institution,EQ
HYUNDAI,Hyundai Motor India Limited,Passenger Cars & Utility Vehicles,EQ
ICICIBANK,ICICI Bank Limited,Private Sector Bank,EQ
ICICIGI,ICICI Lombard General Insurance Company Limited,General Insurance,EQ
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Life Insurance,EQ
IDBI,IDBI Bank Limited,Private Sector Bank,EQ
IDEA,Vodafone Idea Limited,Telecom - Cellular & Fixed line services,EQ
IDFCFIRSTB,IDFC First Bank Limited,Private Sector Bank,EQ
IEX,Indian Energy Exchange Limited,Exchange and Data Platform,EQ
IFCI,IFCI Limited,Financial Institution,EQ
IGIL,International Gemmological Institute (India) Limited,Diversified Commercial Services,EQ
IGL,Indraprastha Gas Limited,LPG/CNG/PNG/LNG Supplier,EQ
IIFL,IIFL Finance Limited,Non Banking Financial Company (NBFC),EQ
IKS,Inventurus Knowledge Solutions Limited,IT Enabled Services,EQ
INDGN,Indegene Limited,Healthcare Research Analytics & Technology,EQ
INDHOTEL,The Indian Hotels Company Limited,Hotels & Resorts,EQ
INDIACEM,The India Cements Limited,Cement & Cement Products,EQ
INDIAMART,Indiamart Intermesh Limited,Internet & Catalogue Retail,EQ
INDIANB,Indian Bank,Public Sector Bank,EQ
INDIGO,InterGlobe Aviation Limited,Airline,EQ
INDUSINDBK,IndusInd Bank Limited,Private Sector Bank,EQ
INDUSTOWER,Indus Towers Limited,Telecom - Infrastructure,EQ
INFY,Infosys Limited,Computers - Software & Consulting,EQ
INOXINDIA,INOX India Limited,Other Industrial Products,EQ
INOXWIND,Inox Wind Limited,Heavy Electrical Equipment,EQ
INTELLECT,Intellect Design Arena Limited,Computers - Software & Consulting,EQ
IOB,Indian Overseas Bank,Public Sector Bank,EQ
IOC,Indian Oil Corporation Limited,Refineries & Marketing,EQ
IPCALAB,IPCA Laboratories Limited,Pharmaceuticals,EQ
IRB,IRB Infrastructure Developers Limited,Civil Construction,EQ
IRCON,Ircon International Limited,Civil Construction,EQ
IRCTC,Indian Railway Catering And Tourism Corporation Limited,Tour Travel Related Services,EQ
IREDA,Indian Renewable Energy Development Agency Limited,Financial Institution,EQ
IRFC,Indian Railway Finance Corporation Limited,Financial Institution,EQ
ITC,ITC Limited,Diversified FMCG,EQ
